2020-03-12T21:28:40.969Z; INFO; com.ulisesbocchio.jasyptspringboot.configuration.EnableEncryptablePropertiesBeanFactoryPostProcessor; postProcessBeanFactory; [springAppName_IS_UNDEFINED,,,] [main]; Post-processing PropertySource instances
2020-03-12T21:28:41.350Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
2020-03-12T21:28:41.358Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource bootstrap [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2020-03-12T21:28:41.362Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource systemProperties [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2020-03-12T21:28:41.363Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableMapPropertySourceWrapper
2020-03-12T21:28:41.367Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
2020-03-12T21:28:41.368Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource springCloudClientHostInfo [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2020-03-12T21:28:41.369Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource defaultProperties [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2020-03-12T21:28:41.502Z; INFO; org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker; postProcessAfterInitialization; [springAppName_IS_UNDEFINED,,,] [main]; Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$43a70fb0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-03-12T21:53:25.528Z; INFO; com.ulisesbocchio.jasyptspringboot.configuration.EnableEncryptablePropertiesBeanFactoryPostProcessor; postProcessBeanFactory; [springAppName_IS_UNDEFINED,,,] [main]; Post-processing PropertySource instances
2020-03-12T21:53:25.805Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource configurationProperties [org.springframework.boot.context.properties.source.ConfigurationPropertySourcesPropertySource] to AOP Proxy
2020-03-12T21:53:25.814Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource bootstrap [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2020-03-12T21:53:25.816Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource systemProperties [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2020-03-12T21:53:25.818Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource systemEnvironment [org.springframework.boot.env.SystemEnvironmentPropertySourceEnvironmentPostProcessor$OriginAwareSystemEnvironmentPropertySource] to EncryptableMapPropertySourceWrapper
2020-03-12T21:53:26.318Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
2020-03-12T21:53:26.320Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource springCloudClientHostInfo [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2020-03-12T21:53:26.322Z; INFO; com.ulisesbocchio.jasyptspringboot.EncryptablePropertySourceConverter; makeEncryptable; [springAppName_IS_UNDEFINED,,,] [main]; Converting PropertySource defaultProperties [org.springframework.core.env.MapPropertySource] to EncryptableMapPropertySourceWrapper
2020-03-12T21:53:26.433Z; INFO; org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker; postProcessAfterInitialization; [springAppName_IS_UNDEFINED,,,] [main]; Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a3fcc52d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
